,wavelengths,radiance
177,485.0688360450563,16.413800000000002
178,485.94493116395495,16.413800000000002
179,486.82102628285355,16.7375
180,487.69712140175216,16.7375
181,488.5732165206508,16.87219426329861
182,489.4493116395494,17.0606
183,490.325406758448,17.0606
184,491.2015018773467,17.0606
185,492.0775969962453,17.305500000000002
186,492.9536921151439,17.305500000000002
187,493.82978723404256,17.5501
188,494.70588235294116,17.5501
189,495.58197747183976,17.5501
190,496.4580725907384,17.2384
191,497.33416770963703,17.2384
192,498.21026282853563,17.2384
193,499.0863579474343,16.9253
194,499.9624530663329,16.9253
195,500.8385481852315,16.9253
196,501.71464330413016,17.1286
197,502.59073842302877,17.1286
198,503.4668335419274,17.1286
199,504.34292866082603,17.332900000000002
200,505.21902377972464,17.332900000000002
201,506.09511889862324,17.332900000000002
