wavelengths,radiance
506.9712140175219,17.4135
507.8473091364205,17.4135
508.7234042553191,17.4135
509.59949937421777,17.4953
510.4755944931164,17.4953
511.351689612015,17.0492
512.2277847309136,17.0492
513.1038798498123,17.0492
513.9799749687108,16.5987
514.8560700876095,16.5987
515.7321652065082,16.597097572713075
516.6082603254067,16.5346
517.4843554443054,16.5346
518.360450563204,16.5346
519.2365456821026,16.465700000000002
520.1126408010012,16.465700000000002
520.9887359198999,16.465700000000002
521.8648310387985,16.755699999999997
522.7409261576971,16.755699999999997
523.6170212765958,16.755699999999997
524.4931163954943,17.0455
525.369211514393,17.0455
526.2453066332916,17.0455
527.1214017521902,17.2941
527.9974968710889,17.2941
528.8735919899875,17.5375
529.7496871088861,17.5375
530.6257822277847,17.5375
531.5018773466834,17.5034
532.3779724655819,17.5034
